short_name,(0-0.01].mean_sd_cov.x,(0.01-0.05].mean_sd_cov.x,(0.01-0.5].mean_sd_cov.x,(0.05-0.5].mean_sd_cov.x,(0-0.01].mean_sd_cov.y,(0.01-0.05].mean_sd_cov.y,(0.01-0.5].mean_sd_cov.y,(0.05-0.5].mean_sd_cov.y
CytoSNP-12,0.1588±0.0294,0.2618±0.0502,0.4031±0.0578,0.5126±0.0643,0.3343±0.0468,0.3854±0.0655,0.6265±0.0621,0.7797±0.0591
Infinium_Core,0.1728±0.0406,0.3099±0.0837,0.4776±0.0883,0.6075±0.0912,0.3633±0.0636,0.4403±0.082,0.6645±0.0688,0.807±0.0585
Infinium_OncoArray,0.2133±0.0369,0.3922±0.0736,0.5525±0.0756,0.6767±0.077,0.4207±0.0547,0.5241±0.0684,0.7205±0.0558,0.8454±0.0463
PsychArray,0.2077±0.0354,0.3766±0.0721,0.5359±0.0744,0.6593±0.0758,0.4068±0.0539,0.4939±0.0706,0.7015±0.058,0.8333±0.0483
Axiom_GW_ASI,0.2595±0.0591,0.5082±0.1141,0.6394±0.1148,0.7409±0.1153,0.4572±0.0813,0.5651±0.1018,0.7339±0.0908,0.8411±0.0828
Infinium_GSA,0.2056±0.0375,0.3524±0.074,0.5145±0.0805,0.64±0.0851,0.4203±0.0574,0.5587±0.0723,0.7373±0.0588,0.8509±0.0493
Axiom_GW_CHB,0.2524±0.034,0.4872±0.0603,0.6257±0.0572,0.7329±0.0545,0.4567±0.0435,0.5608±0.0496,0.7428±0.0376,0.8584±0.0291
Axiom_JAPONICA,0.2497±0.0372,0.4701±0.0674,0.6165±0.0648,0.73±0.0622,0.4567±0.0492,0.574±0.0624,0.7694±0.0444,0.8936±0.0313
Axiom_GW_EUR,0.2507±0.0615,0.4638±0.1157,0.5963±0.1214,0.6989±0.1257,0.4471±0.0887,0.5748±0.1126,0.7386±0.0991,0.8428±0.0898
Infinium_Chinese,0.258±0.0356,0.5023±0.0641,0.6518±0.0606,0.7676±0.0577,0.4708±0.0472,0.5963±0.0558,0.774±0.043,0.8869±0.0339
Infinium_JSA,0.2156±0.0347,0.3904±0.066,0.5316±0.0674,0.641±0.0679,0.4177±0.0507,0.5205±0.0608,0.7207±0.0494,0.848±0.0406
Axiom_UKB,0.2412±0.0276,0.4199±0.0479,0.5866±0.0478,0.7158±0.047,0.4743±0.0406,0.644±0.0488,0.8072±0.0352,0.9109±0.0255
CytoSNP-850K,0.3158±0.0402,0.6227±0.0669,0.7459±0.0568,0.8413±0.0489,0.525±0.0453,0.6398±0.0527,0.7979±0.0401,0.8984±0.0316
Axiom_PMRA,0.2735±0.0328,0.6102±0.0483,0.7342±0.0423,0.8303±0.0372,0.5169±0.0422,0.6421±0.0481,0.7969±0.0374,0.8952±0.0299
Axiom_PMDA,0.2814±0.0245,0.655±0.037,0.7717±0.0295,0.8621±0.024,0.531±0.0297,0.6849±0.0315,0.8234±0.0232,0.9113±0.0181
Affymetrix_6.0,0.317±0.0534,0.6204±0.0924,0.7364±0.0816,0.8264±0.0734,0.5161±0.06,0.6206±0.0713,0.7768±0.0574,0.8761±0.0477
OmniZhongHua,0.3547±0.0383,0.6954±0.0582,0.8019±0.0461,0.8845±0.0365,0.5593±0.0434,0.6846±0.0473,0.8275±0.0349,0.9183±0.0269
Multi-Ethnic_EUR_EAS_SAS,0.3348±0.0432,0.6522±0.0734,0.7692±0.0608,0.8599±0.051,0.553±0.0512,0.699±0.0561,0.8309±0.0414,0.9147±0.0317
Multi-Ethnic_Global,0.3519±0.0434,0.6965±0.0689,0.7997±0.0556,0.8797±0.0453,0.5711±0.0495,0.7099±0.0539,0.8376±0.0395,0.9188±0.0301
Infinium_GDA,0.357±0.0418,0.7053±0.0642,0.8074±0.0505,0.8866±0.0398,0.5759±0.0471,0.716±0.0495,0.8425±0.036,0.923±0.0271
Axiom_GW_PanAFR,0.4182±0.0383,0.8012±0.0452,0.87±0.0334,0.9233±0.0242,0.6013±0.0384,0.6917±0.039,0.8281±0.0301,0.9148±0.0239
Infinium_Omni2.5,0.4184±0.0417,0.7807±0.0521,0.856±0.0393,0.9143±0.0294,0.6126±0.0442,0.7349±0.045,0.8529±0.0327,0.928±0.0249
Infinium_Omni5,0.4517±0.0396,0.8045±0.047,0.8721±0.0349,0.9245±0.0253,0.6655±0.043,0.7885±0.0398,0.8813±0.0288,0.9404±0.0219
