short_name,(0-0.01].mean_sd_r2.x,(0.01-0.05].mean_sd_r2.x,(0.01-0.5].mean_sd_r2.x,(0.05-0.5].mean_sd_r2.x,(0-0.01].mean_sd_r2.y,(0.01-0.05].mean_sd_r2.y,(0.01-0.5].mean_sd_r2.y,(0.05-0.5].mean_sd_r2.y
CytoSNP-12,0.2924±0.0379,0.5158±0.055,0.7218±0.0458,0.8266±0.0406,0.557±0.0409,0.7376±0.0419,0.8635±0.0304,0.9132±0.0258
Infinium_Core,0.3014±0.0449,0.5326±0.0637,0.7391±0.0512,0.8442±0.0439,0.5617±0.0437,0.7453±0.0452,0.871±0.0321,0.9206±0.0268
Infinium_OncoArray,0.3447±0.0386,0.5898±0.053,0.7745±0.0422,0.8686±0.0365,0.5919±0.0384,0.7761±0.0385,0.8878±0.0275,0.9319±0.0232
PsychArray,0.3298±0.0385,0.5691±0.0545,0.7625±0.0437,0.861±0.0375,0.5827±0.0382,0.7665±0.039,0.883±0.028,0.929±0.0235
Axiom_GW_ASI,0.3626±0.0613,0.6136±0.0793,0.7826±0.0687,0.8686±0.0626,0.6138±0.0607,0.799±0.0612,0.8927±0.0477,0.9298±0.0423
Infinium_GSA,0.3674±0.0414,0.6174±0.0528,0.7835±0.0414,0.868±0.0355,0.6148±0.0385,0.8175±0.035,0.9026±0.0243,0.9363±0.0204
Axiom_GW_CHB,0.3644±0.029,0.6169±0.0403,0.7926±0.0303,0.8821±0.0254,0.6348±0.0261,0.8343±0.0238,0.9147±0.0152,0.9465±0.0121
Axiom_JAPONICA,0.3905±0.0389,0.6412±0.0479,0.8149±0.0324,0.9035±0.0237,0.6615±0.035,0.8555±0.0293,0.9333±0.0161,0.9641±0.0109
Axiom_GW_EUR,0.3742±0.0668,0.6267±0.0856,0.7861±0.0749,0.8674±0.0687,0.604±0.0659,0.7845±0.0677,0.8813±0.0553,0.9195±0.0503
Infinium_Chinese,0.3791±0.0357,0.6429±0.0457,0.8139±0.0346,0.9009±0.0287,0.6379±0.0352,0.8381±0.0312,0.9205±0.0214,0.9531±0.0177
Infinium_JSA,0.3552±0.0368,0.6059±0.0475,0.7829±0.0349,0.873±0.028,0.6402±0.0354,0.8463±0.0288,0.9168±0.0184,0.9447±0.0142
Axiom_UKB,0.4101±0.032,0.6751±0.0393,0.8281±0.0289,0.906±0.0233,0.6328±0.0297,0.8171±0.0279,0.9126±0.0167,0.9503±0.0124
CytoSNP-850K,0.4008±0.0339,0.6651±0.0447,0.8283±0.0339,0.9113±0.0287,0.6433±0.0334,0.8275±0.0312,0.9199±0.021,0.9564±0.0171
Axiom_PMRA,0.3813±0.0344,0.6466±0.0425,0.8128±0.0311,0.8974±0.0249,0.6451±0.0326,0.8429±0.0287,0.9217±0.0177,0.9529±0.0134
Axiom_PMDA,0.3913±0.0262,0.67±0.0326,0.8276±0.0226,0.9078±0.0174,0.6339±0.0239,0.8286±0.0202,0.9189±0.0104,0.9545±0.0079
Affymetrix_6.0,0.3835±0.0438,0.6471±0.0566,0.8131±0.0436,0.8975±0.0367,0.6258±0.0415,0.8121±0.0392,0.9087±0.0269,0.9468±0.0221
OmniZhongHua,0.4301±0.0344,0.6987±0.042,0.8503±0.0307,0.9276±0.0251,0.6727±0.0313,0.8561±0.0293,0.9353±0.0185,0.9666±0.0141
Multi-Ethnic_EUR_EAS_SAS,0.4381±0.0372,0.7181±0.047,0.851±0.0357,0.9188±0.03,0.6745±0.0348,0.8652±0.0321,0.9335±0.0222,0.9605±0.0182
Multi-Ethnic_Global,0.4391±0.0365,0.7219±0.0458,0.8548±0.0341,0.9226±0.0283,0.6754±0.0348,0.8677±0.0316,0.936±0.0212,0.963±0.0172
Infinium_GDA,0.4419±0.0355,0.7261±0.0432,0.8589±0.0308,0.9265±0.0245,0.6789±0.0334,0.8707±0.0287,0.9384±0.0182,0.9651±0.014
Axiom_GW_PanAFR,0.425±0.0306,0.6967±0.038,0.8509±0.0278,0.9294±0.0227,0.6622±0.0285,0.8463±0.0252,0.9322±0.0159,0.9661±0.0123
Infinium_Omni2.5,0.4603±0.035,0.7313±0.0408,0.8678±0.0294,0.9373±0.0238,0.6845±0.0308,0.8669±0.0273,0.9412±0.0174,0.9705±0.0136
Infinium_Omni5,0.5053±0.0345,0.7692±0.0383,0.8873±0.0263,0.9475±0.0203,0.7008±0.0296,0.8821±0.0246,0.9499±0.0146,0.9767±0.0107
