short_name,(0-0.01].mean_sd_cov.x,(0.01-0.05].mean_sd_cov.x,(0.01-0.5].mean_sd_cov.x,(0.05-0.5].mean_sd_cov.x,(0-0.01].mean_sd_cov.y,(0.01-0.05].mean_sd_cov.y,(0.01-0.5].mean_sd_cov.y,(0.05-0.5].mean_sd_cov.y
CytoSNP-12,0.1271±0.0228,0.2763±0.0483,0.5731±0.0584,0.7239±0.0628,0.2822±0.0387,0.504±0.061,0.7655±0.0508,0.8687±0.047
Infinium_Core,0.1362±0.0299,0.3002±0.0627,0.6041±0.0656,0.7586±0.0654,0.2906±0.0422,0.5207±0.0655,0.7801±0.0494,0.8825±0.0428
Infinium_OncoArray,0.1719±0.0277,0.3739±0.0557,0.6576±0.0546,0.8019±0.0535,0.3279±0.0374,0.578±0.0568,0.8119±0.0419,0.9041±0.0367
PsychArray,0.158±0.0266,0.3414±0.0562,0.6358±0.0564,0.7855±0.055,0.3146±0.037,0.5564±0.0578,0.8012±0.0426,0.8978±0.0367
Axiom_GW_ASI,0.1929±0.0444,0.4261±0.0802,0.6824±0.0872,0.8127±0.09,0.3663±0.0617,0.6405±0.0909,0.8275±0.0749,0.9013±0.0687
Infinium_GSA,0.1904±0.0312,0.4051±0.0582,0.6692±0.0579,0.8035±0.057,0.3518±0.0402,0.661±0.0567,0.8476±0.0404,0.9211±0.0351
Axiom_GW_CHB,0.1896±0.0221,0.412±0.0421,0.6826±0.0356,0.8202±0.0323,0.3807±0.026,0.6925±0.0327,0.8628±0.0209,0.93±0.0174
Axiom_JAPONICA,0.2066±0.0304,0.4351±0.054,0.7215±0.0425,0.8673±0.0352,0.4172±0.04,0.7465±0.0527,0.9024±0.0271,0.964±0.0175
Axiom_GW_EUR,0.2044±0.0492,0.4456±0.0898,0.6893±0.0953,0.8133±0.0972,0.3561±0.0645,0.6148±0.0946,0.8096±0.0836,0.8865±0.0794
Infinium_Chinese,0.1998±0.0281,0.4487±0.0501,0.7218±0.0435,0.8608±0.0393,0.3873±0.037,0.7026±0.0489,0.8752±0.0317,0.9433±0.0253
Infinium_JSA,0.1782±0.0271,0.3855±0.0508,0.6603±0.0476,0.8001±0.045,0.3864±0.0392,0.7207±0.0494,0.8745±0.032,0.9352±0.0251
Axiom_UKB,0.2305±0.026,0.4916±0.043,0.75±0.035,0.8815±0.0299,0.3767±0.0293,0.655±0.0418,0.8646±0.0252,0.9473±0.019
CytoSNP-850K,0.222±0.0272,0.4809±0.0504,0.7413±0.0423,0.8738±0.038,0.3949±0.0356,0.6741±0.0475,0.8673±0.0312,0.9436±0.0254
Axiom_PMRA,0.2066±0.0265,0.4569±0.0443,0.7253±0.0377,0.8618±0.0335,0.3961±0.035,0.7161±0.045,0.8842±0.0274,0.9506±0.0207
Axiom_PMDA,0.2138±0.0213,0.4894±0.0387,0.7458±0.0291,0.8762±0.0239,0.3782±0.027,0.6708±0.0419,0.8721±0.0176,0.9513±0.0119
Affymetrix_6.0,0.2102±0.0347,0.4616±0.064,0.7168±0.0593,0.8466±0.0562,0.3746±0.0449,0.6428±0.0628,0.8445±0.0454,0.9242±0.0388
OmniZhongHua,0.2505±0.0282,0.531±0.047,0.7773±0.0362,0.9027±0.0306,0.4373±0.0349,0.7405±0.046,0.899±0.0273,0.9615±0.0204
Multi-Ethnic_EUR_EAS_SAS,0.2613±0.032,0.5726±0.0566,0.7846±0.0444,0.8925±0.0379,0.4425±0.0392,0.7684±0.0512,0.9029±0.0323,0.956±0.0251
Multi-Ethnic_Global,0.2624±0.031,0.5765±0.0554,0.7886±0.0428,0.8966±0.0362,0.4432±0.0389,0.7709±0.0498,0.9057±0.0307,0.9589±0.0237
Infinium_GDA,0.2657±0.0296,0.5818±0.0524,0.7938±0.0391,0.9018±0.0321,0.448±0.0374,0.7756±0.0468,0.9094±0.0275,0.9623±0.0204
Axiom_GW_PanAFR,0.2495±0.025,0.5302±0.0406,0.7759±0.0316,0.901±0.0265,0.4241±0.0297,0.708±0.037,0.8862±0.0228,0.9565±0.0175
Infinium_Omni2.5,0.2865±0.0302,0.5846±0.0467,0.8034±0.0342,0.9148±0.0279,0.4561±0.0347,0.76±0.0422,0.907±0.0253,0.965±0.0191
Infinium_Omni5,0.3455±0.0316,0.6508±0.0457,0.8344±0.0315,0.928±0.0242,0.4807±0.0335,0.7895±0.0392,0.9207±0.0219,0.9725±0.0156
