Bin,Imputation_accuracy
(0-0.01]_PMRA_Real,0.8173±0.0379
(0.01-0.05]_PMRA_Real,0.9013±0.0285
(0.01-0.5]_PMRA_Real,0.9492±0.0158
(0.05-0.5]_PMRA_Real,0.9573±0.0135
(0-0.01]_PMRA_Simulated,0.8144±0.0359
(0.01-0.05]_PMRA_Simulated,0.8971±0.0273
(0.01-0.5]_PMRA_Simulated,0.9459±0.016
(0.05-0.5]_PMRA_Simulated,0.9542±0.014
(0-0.01]_GSA_Real,0.7845±0.0489
(0.01-0.05]_GSA_Real,0.8753±0.0346
(0.01-0.5]_GSA_Real,0.9281±0.0229
(0.05-0.5]_GSA_Real,0.9371±0.0209
(0-0.01]_GSA_Simulated,0.7864±0.0492
(0.01-0.05]_GSA_Simulated,0.8775±0.0348
(0.01-0.5]_GSA_Simulated,0.9292±0.0229
(0.05-0.5]_GSA_Simulated,0.938±0.0207
